Designator,Mid X,Mid Y,Rotation,Layer
D1,44.966848,-59.010731,90.0,top
D10,64.016848,-97.110731,90.0,top
D11,83.066848,-97.110731,90.0,top
D12,102.116848,-97.110731,90.0,top
D2,64.016848,-59.010731,90.0,top
D3,83.066848,-59.010731,90.0,top
D4,102.116848,-59.010731,90.0,top
D5,44.966848,-78.060731,90.0,top
D6,64.016848,-78.060731,90.0,top
D7,83.066848,-78.060731,90.0,top
D8,102.116848,-78.060731,90.0,top
D9,44.966848,-97.110731,90.0,top
SW1,35.441848,-57.798231,0.0,top
SW10,54.491848,-95.898231,0.0,top
SW11,73.541848,-95.898231,0.0,top
SW12,92.341848,-98.558231,90.0,top
SW2,54.491848,-57.798231,0.0,top
SW3,73.541848,-57.798231,0.0,top
SW4,92.591848,-57.798231,0.0,top
SW5,35.441848,-76.848231,0.0,top
SW6,54.491848,-76.848231,0.0,top
SW7,73.541848,-76.848231,0.0,top
SW8,92.591848,-76.848231,0.0,top
SW9,35.441848,-95.898231,0.0,top
U1,37.509561,-38.552269,0.0,bottom
